"29","2","",GREENFIELD,DRIVE,CLAYTON,"3168"
"","54","",WILMA,AVENUE,MULGRAVE,"3170"
"","15","",KIERENS,WAY,CHADSTONE,"3148"
"","19","",STAPLEY,CRESCENT,CHADSTONE,"3148"
"","196","",ELGAR,ROAD,BOX HILL SOUTH,"3128"
"","50","",RADLEIGH,DRIVE,WHEELERS HILL,"3150"
"","12","",HELEN,ROAD,CHADSTONE,"3148"
"9","305","",CANTERBURY,ROAD,FOREST HILL,"3131"
"","19","",CAROLINE,STREET,RINGWOOD,"3134"
"","21","",PIPPIN,AVENUE,GLEN WAVERLEY,"3150"
"","9","",COURAGE,COURT,GLEN WAVERLEY,"3150"
"","146","",WATSONS,ROAD,GLEN WAVERLEY,"3150"
"","29","",DANIEN,STREET,GLEN WAVERLEY,"3150"
"","5","",CLIVEJAY,STREET,GLEN WAVERLEY,"3150"
"","4","",KAURI,GROVE,GLEN WAVERLEY,"3150"
"","18","",ST GEORGES,COURT,GLEN WAVERLEY,"3150"
"","13","",INEZ,AVENUE,RINGWOOD,"3134"
"","12","",SHERBROOK,AVENUE,RINGWOOD,"3134"
"12","23","25",ALBION,ROAD,BOX HILL,"3128"
"","19A","",CHRISTOWEL,STREET,CAMBERWELL,"3124"
"","20","",VAN NESS,AVENUE,GLEN IRIS,"3146"
"","4A","",YVETTE,COURT,MOUNT WAVERLEY,"3149"
"3","1","3",BORONIA,ROAD,VERMONT,"3133"
"2","38","",BORONIA,GROVE,DONCASTER EAST,"3109"
"","27","",FOLKESTONE,ROAD,GLEN WAVERLEY,"3150"
"","17","",HOWITT,STREET,GLEN IRIS,"3146"
"","55","",SHEPHERD,ROAD,GLEN WAVERLEY,"3150"
"14","1","",FRANK,STREET,GLEN WAVERLEY,"3150"
"","13","",AVONHURST,DRIVE,GLEN WAVERLEY,"3150"
"","52","",GOLF LINKS,AVENUE,OAKLEIGH,"3166"
"","10","",NIELSEN,AVENUE,NUNAWADING,"3131"
"","3A","",CHIVERS,ROAD,TEMPLESTOWE,"3106"
"","1508","",HIGH,STREET,GLEN IRIS,"3146"
"4","1A","",NICHOLSDALE,ROAD,CAMBERWELL,"3124"
"","523","525",WARRIGAL,ROAD,ASHWOOD,"3147"
"","6","",YENEDA,STREET,BALWYN NORTH,"3104"
"","22","",NORFOLK,ROAD,SURREY HILLS,"3127"
"","5","",SANG,COURT,RINGWOOD,"3134"
"","69","",BLACKBURN,ROAD,MOUNT WAVERLEY,"3149"
"","11","",RITZ,STREET,VERMONT SOUTH,"3133"
"","35","",ORIENT,AVENUE,MITCHAM,"3132"
"2","10","",FENTON,STREET,HUNTINGDALE,"3166"
"","21","",VIEWPOINT,ROAD,BALWYN NORTH,"3104"
"","13","",JANFOURD,COURT,MOUNT WAVERLEY,"3149"
"","5","",KINGSTON,STREET,MOUNT WAVERLEY,"3149"
"","283","",LAWRENCE,ROAD,MOUNT WAVERLEY,"3149"
"","6","",BINGLEY,AVENUE,NOTTING HILL,"3168"
"1","26","",ATHERTON,ROAD,OAKLEIGH,"3166"
"","722","",ELGAR,ROAD,DONCASTER,"3108"
"","1","",WATTON,CLOSE,CLAYTON SOUTH,"3169"
"","23","",AONACH,STREET,CLAYTON SOUTH,"3169"
"4","204","",WHITEHORSE,ROAD,BALWYN,"3103"
"4","17","",TEMPLE,STREET,ASHWOOD,"3147"
"","15","",HOUSTON,COURT,BOX HILL SOUTH,"3128"
"","4","",VALLEY VIEW,COURT,GLEN WAVERLEY,"3150"
"","212","214",SERPELLS,ROAD,TEMPLESTOWE,"3106"
"","30","",MAIN,ROAD,CLAYTON SOUTH,"3169"
"2","22","",JACQUELINE,ROAD,MOUNT WAVERLEY,"3149"
"","60","72",GARDEN,ROAD,CLAYTON,"3168"
"","11","",GRANDVIEW,AVENUE,GLEN IRIS,"3146"
"","50","",WATTLE,GROVE,MULGRAVE,"3170"
"","25","",MATISSE,DRIVE,TEMPLESTOWE,"3106"
"","4","",MIRIAM,COURT,TEMPLESTOWE,"3106"
"107","6","",BRUCE,STREET,BOX HILL,"3128"
"2","10","",VICTORIA,STREET,BOX HILL,"3128"
"","1131","",WHITEHORSE,ROAD,BOX HILL,"3128"
"","701","",STATION,STREET,BOX HILL,"3128"
"","57","",SPRINGS,ROAD,CLAYTON SOUTH,"3169"
"","23","",CYPRESS,AVENUE,BURWOOD,"3125"
"","16","",PEACOCK,STREET,BURWOOD,"3125"
"","9","",REDLAND,DRIVE,MITCHAM,"3132"
"","27","",LINDWALL,STREET,GLEN WAVERLEY,"3150"
